"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2021","2","",138096,1946313,1954135,1964338,25599127208,2571788988,42669888,1007,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7442,5.7,180746,10.2,136124,7.5,95274,5.1,2815252249,12.4,491332968,23.6,19241921,82.1,43,4.5
"01000","1","10","51","0","2021","2","",1255,55498,55441,55592,1221673081,0,0,1693,"",1.61,1.40,1.41,1.41,1.64,0.00,0.00,1.16,"",4,0.3,589,1.1,371,0.7,562,1.0,36211643,3.1,0,0.0,0,0.0,35,2.1
"01000","2","10","51","0","2021","2","",1347,97343,97065,95754,1427146251,127870,1471,1135,"",1.51,1.53,1.54,1.54,1.69,0.01,0.02,1.10,"",-15,-1.1,-377,-0.4,-513,-0.5,-70,-0.1,51039895,3.7,31292,32.4,-1137,-43.6,44,4.0
"01000","3","10","51","0","2021","2","",3736,209838,210660,212178,2453633389,17120136,224014,895,"",1.72,1.10,1.11,1.14,1.06,0.41,0.89,0.95,"",51,1.4,-1222,-0.6,9636,4.8,9613,4.7,144493610,6.3,631795,3.8,95961,74.9,28,3.2
"01000","5","10","51","0","2021","2","",131758,1583634,1590969,1600814,20496674487,2554540982,42444403,990,"",0.98,0.96,0.96,0.96,0.94,1.02,1.00,0.99,"",7402,6.0,181756,13.0,126630,8.6,85169,5.6,2583507101,14.4,490669881,23.8,19147097,82.2,47,5.0
"01000","8","10","96","0","2021","2","",6338,362679,363166,363524,5102452721,17248006,225485,1081,"",1.65,1.24,1.24,1.26,1.31,0.29,0.72,1.05,"",40,0.6,-1010,-0.3,9494,2.7,10105,2.9,231745148,4.8,663087,4.0,94824,72.6,31,3.0
"01001","0","10","70","0","2021","2","",947,11065,11121,11145,114655956,14491414,251935,794,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",51,5.7,1129,11.4,541,5.1,475,4.5,9810056,9.4,2355003,19.4,98857,64.6,18,2.3
"01001","1","10","71","0","2021","2","",10,78,83,79,1324816,0,0,1274,"",1.87,0.35,0.37,0.35,0.40,0.00,0.00,1.11,"",-1,-9.1,-3,-3.7,-4,-4.6,-4,-4.8,-30347,-2.2,0,0.0,0,0.0,28,2.2
"01001","2","10","71","0","2021","2","",18,526,540,544,6513760,0,0,934,"",2.94,1.46,1.51,1.54,1.72,0.00,0.00,1.15,"",-1,-5.3,-38,-6.7,-68,-11.2,-12,-2.2,513280,8.6,0,0.0,0,0.0,133,16.6
"01001","3","10","71","0","2021","2","",32,1894,1888,1905,18647700,15752,181,757,"",2.14,1.75,1.74,1.80,1.80,0.07,0.12,1.02,"",0,0.0,-16,-0.8,108,6.1,115,6.4,592421,3.3,6969,79.3,129,248.1,-3,-0.4
